parameter,provenance_type,value,unit,crop,region,season,source,source_url,source_year,transformation,assumption,confidence,notes
crop.kc_and_stage_lengths,OBSERVED,Kc 1.05/1.2/0.9; 150d,Kc dimensionless; days,rice,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,Access 2026-08-12. Stage lengths: Tropics/Mediterranean (Table 11). Kc end range 0.90-0.60; 0.90 for continuously ponded paddy. Kc ini for paddy adjust via Table 14.
crop.kc_and_stage_lengths,OBSERVED,Kc 0.3/1.15/0.3; 120d,Kc dimensionless; days,wheat,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,"Access 2026-08-12. Stage lengths: Central India, Nov planting (Table 11). Spring/rabi wheat. Kc end range 0.25-0.40 (0.40 if hand-harvested green)."
crop.kc_and_stage_lengths,OBSERVED,Kc 0.3/1.2/0.35; 125d,Kc dimensionless; days,maize,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,"Access 2026-08-12. Stage lengths: India, dry cool (Table 11). Grain maize; Kc end 0.60 (high grain moisture) to 0.35 (field-dried)."
crop.kc_and_stage_lengths,OBSERVED,Kc 0.3/1.05/0.55; 130d,Kc dimensionless; days,sorghum,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,MEDIUM,Access 2026-08-12. Stage lengths: USA/Pakistan/Mediterranean (Table 11). Grain sorghum; Kc mid range 1.00-1.10.
crop.kc_and_stage_lengths,OBSERVED,Kc 0.3/1.0/0.3; 105d,Kc dimensionless; days,pearl_millet,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,MEDIUM,"Access 2026-08-12. Stage lengths: Millet, Pakistan Jun planting (Table 11). FAO 'Millet' used for pearl millet."
crop.kc_and_stage_lengths,SYNTHETIC_GROUNDED,Kc 0.4/1.0/0.35; 150d,Kc dimensionless; days,chickpea,,,,https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,"Kc from FAO-56 Table 12 (chickpea, OBSERVED). Stage lengths not listed for chickpea in Table 11; mapped to a ~150d rabi pulse cycle — ASSUMPTION, verify locally.",MEDIUM,"Access 2026-08-12. Stage lengths: Stage lengths mapped from rabi legume analogue. Kc from FAO-56 Table 12 (chickpea, OBSERVED). Stage lengths not listed for chickpea in Table 11; mapped to a ~150d rabi pulse cycle — ASSUMPTION, verify locally."
crop.kc_and_stage_lengths,SYNTHETIC_GROUNDED,Kc 0.4/1.15/0.55; 180d,Kc dimensionless; days,pigeon_pea,,,,https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,Pigeon pea is NOT in FAO-56. Kc mapped to legume group default (ini 0.4/mid 1.15/end 0.55). Duration ~180d ASSUMED for medium-duration variety. Both are assumptions — flag for sourcing.,LOW,Access 2026-08-12. Stage lengths: Legume group default; long-duration kharif pulse. Pigeon pea is NOT in FAO-56. Kc mapped to legume group default (ini 0.4/mid 1.15/end 0.55). Duration ~180d ASSUMED for medium-duration variety. Both are assumptions — flag for sourcing.
crop.kc_and_stage_lengths,OBSERVED,Kc 0.4/1.15/0.6; 130d,Kc dimensionless; days,groundnut,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,"Access 2026-08-12. Stage lengths: Groundnut, dry West Africa (Table 11)."
crop.kc_and_stage_lengths,OBSERVED,Kc 0.4/1.15/0.5; 137d,Kc dimensionless; days,soybean,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,MEDIUM,"Access 2026-08-12. Stage lengths: Central USA, May (Table 11). Indian kharif soybean varieties are often shorter (~95-110d); FAO duration retained but flagged — prefer local ICAR variety data."
crop.kc_and_stage_lengths,SYNTHETIC_GROUNDED,Kc 0.35/1.1/0.35; 130d,Kc dimensionless; days,mustard,,,,https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,Indian mustard mapped to FAO rapeseed/canola (Kc mid 1.0-1.15 -> 1.10). Duration ~130d rabi ASSUMED — verify with ICAR/DES.,MEDIUM,Access 2026-08-12. Stage lengths: Rapeseed/Canola mapping (Table 12 oil crops). Indian mustard mapped to FAO rapeseed/canola (Kc mid 1.0-1.15 -> 1.10). Duration ~130d rabi ASSUMED — verify with ICAR/DES.
crop.kc_and_stage_lengths,OBSERVED,Kc 0.35/1.18/0.6; 195d,Kc dimensionless; days,cotton,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,"Access 2026-08-12. Stage lengths: Cotton, Egypt/Pakistan/Calif. (Table 11). Kc mid range 1.15-1.20; Kc end range 0.70-0.50."
crop.kc_and_stage_lengths,OBSERVED,Kc 0.5/1.15/0.75; 130d,Kc dimensionless; days,potato,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,MEDIUM,"Access 2026-08-12. Stage lengths: Continental, May (Table 11). Indian rabi potato often 90-120d; FAO continental cycle retained but flagged."
crop.kc_and_stage_lengths,OBSERVED,Kc 0.7/1.05/0.75; 150d,Kc dimensionless; days,onion,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,"Access 2026-08-12. Stage lengths: Onion (dry), Mediterranean Apr (Table 11)."
crop.kc_and_stage_lengths,OBSERVED,Kc 0.6/1.15/0.8; 135d,Kc dimensionless; days,tomato,,,"FAO Irrigation & Drainage Paper 56 (Allen et al. 1998), Tables 11-12",https://www.fao.org/4/x0490e/x0490e0b.htm,1998,Kc ranges reduced to representative value; stage means used for CWR curve,,HIGH,"Access 2026-08-12. Stage lengths: Tomato, arid region Jan (Table 11). Kc end range 0.70-0.90."
climate.ET0_by_region_stage,SYNTHETIC_EXPERIMENTAL,,mm/day,,,,,,,,,REQUIRES_SOURCING,Reference evapotranspiration per region/season/stage required to turn Kc into a crop water requirement. Source: IMD / CROPWAT / FAO CLIMWAT. Not yet sourced — CWR is computed on demand and refused without it.
climate.ET0_seasonal,OBSERVED,"kharif 6.2, rabi 4.1",mm/day,,R1,,Central Punjab (Ludhiana) FAO-PM ET0 study,https://www.sciencedirect.com/science/article/pii/S2666154323001473,2023,Seasonal totals divided by season length where reported as totals,,MEDIUM,Seasonal ~755 mm kharif / ~490 mm rabi; FAO-PM as standard. Divided by season length.
climate.ET0_seasonal,OBSERVED,"kharif 6.23, rabi 4.29",mm/day,,R2,,"Phad et al. (2020) MAUSAM 71(1), IMD (Govt. of India), Parbhani",https://mausamjournal.imd.gov.in/index.php/MAUSAM/article/download/13/14/61,2020,Seasonal totals divided by season length where reported as totals,,HIGH,"Directly reported seasonal mean daily ET0 (kharif 6.23, rabi 4.29)."
climate.ET0_seasonal,SYNTHETIC_EXPERIMENTAL,,mm/day,,R3,,,,,,,REQUIRES_SOURCING,Annual mean 4.1 mm/day recorded as anchor; kharif/rabi split not yet extracted.
climate.ET0_seasonal,SYNTHETIC_EXPERIMENTAL,,mm/day,,R4,,,,,,,REQUIRES_SOURCING,"Semi-arid West. Candidate: Mehta & Pandey (2015) Gujarat ET0/ETc, J. Agrometeorology 17(1)."
